ats,slug,company_name,status,last_checked_at,last_successful_fetch_at,jobs_last_run,jobs_relevant_last_run,jobs_inserted_last_run,jobs_updated_last_run,jobs_irrelevant_last_run,jobs_partial_last_run,jobs_old_last_run,fetch_failed_last_run,yield_last_run,times_seen_empty,times_failed,last_relevant_at,runs_since_last_relevant,consecutive_fetch_failures,manually_disabled,scrape_tier,scrape_every_runs,bucket_last_run,last_error,provider,company,_existingjobsbysourceid
ashby,neara,Neara,auto,2026-04-15T13:57:10.324Z,2026-04-15T13:57:10.324Z,34,0,0,0,30,0,4,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Neara,
ashby,neworbit,Neworbit,auto,2026-04-15T13:57:11.110Z,2026-04-15T13:57:11.110Z,10,0,0,0,3,0,7,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Neworbit,
ashby,niantic-spatial,Niantic Spatial,auto,2026-04-15T13:57:12.410Z,2026-04-15T13:57:12.410Z,5,1,0,1,4,0,0,false,0.200,0,0,2026-04-15T13:57:12.410Z,0,0,false,medium,1,productive,,ashby,Niantic Spatial,
ashby,noda-ai,Noda Ai,auto,2026-04-15T13:57:14.185Z,2026-04-15T13:57:14.185Z,11,7,0,7,0,0,4,false,0.636,0,0,2026-04-15T13:57:14.185Z,0,0,false,high,1,productive,,ashby,Noda Ai,
ashby,northvectordynamics,Northvectordynamics,auto,2026-04-15T13:57:14.910Z,2026-04-15T13:57:14.910Z,6,1,0,1,5,0,0,false,0.167,0,0,2026-04-15T13:57:14.910Z,0,0,false,medium,1,productive,,ashby,Northvectordynamics,
ashby,northwoodspace,Northwoodspace,auto,2026-04-15T13:57:17.034Z,2026-04-15T13:57:17.034Z,57,0,0,0,39,0,18,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Northwoodspace,
ashby,observable-space,Observable Space,auto,2026-04-15T13:57:18.259Z,2026-04-15T13:57:18.259Z,17,0,0,0,14,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Observable Space,
ashby,obvio,Obvio,auto,2026-04-15T13:57:19.009Z,2026-04-15T13:57:19.009Z,11,0,0,0,8,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Obvio,
ashby,odys-aviation,Odys Aviation,auto,2026-04-15T13:57:20.836Z,2026-04-15T13:57:20.836Z,14,11,0,11,1,0,2,false,0.786,0,0,2026-04-15T13:57:20.836Z,0,0,false,high,1,productive,,ashby,Odys Aviation,
ashby,oligo,Oligo,auto,2026-04-15T13:57:21.371Z,2026-04-15T13:57:21.371Z,13,0,0,0,4,0,9,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Oligo,
ashby,onebrief,Onebrief,auto,2026-04-15T13:57:22.331Z,2026-04-15T13:57:22.331Z,25,0,0,0,22,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Onebrief,
ashby,OnHires,OnHires,auto,2026-04-15T13:57:24.060Z,2026-04-15T13:57:24.060Z,49,2,0,2,47,0,0,false,0.041,0,0,2026-04-15T13:57:24.060Z,0,0,false,low,2,productive,,ashby,OnHires,
