"ats","slug","company_name","status","last_checked_at","last_successful_fetch_at","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run","last_error","provider","company"
"ashby","Sine Engineering","Sine Engineering","auto","2026-04-10T15:01:49.901Z","2026-04-10T15:01:49.901Z","15","11","0","11","3","0","1","false","0.733","0","0","high","1","productive","","ashby","Sine Engineering"
"ashby","Sine%20Engineering","Sine%20Engineering","auto","2026-04-10T15:01:52.321Z","2026-04-10T15:01:52.321Z","15","11","0","11","3","0","1","false","0.733","0","0","high","1","productive","","ashby","Sine%20Engineering"
"ashby","skydio","Skydio","auto","2026-04-10T15:02:12.134Z","2026-04-10T15:02:12.134Z","125","81","0","81","5","0","39","false","0.648","0","0","high","1","productive","","ashby","Skydio"
"ashby","spear-ai","Spear Ai","auto","2026-04-10T15:02:12.621Z","2026-04-10T15:02:12.621Z","15","1","0","1","14","0","0","false","0.067","0","0","low","2","productive","","ashby","Spear Ai"
"ashby","sphere-defense","Sphere Defense","auto","2026-04-10T15:02:14.244Z","2026-04-10T15:02:14.244Z","8","6","0","6","2","0","0","false","0.750","0","0","high","1","productive","","ashby","Sphere Defense"
"ashby","stainlessapi","Stainlessapi","auto","2026-04-10T15:02:15.157Z","2026-04-10T15:02:15.157Z","16","0","0","0","5","0","11","false","0.000","0","0","low","2","irrelevant_only","","ashby","Stainlessapi"
"ashby","StandardBots","StandardBots","auto","2026-04-10T15:02:17.344Z","2026-04-10T15:02:17.344Z","37","0","0","0","36","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","StandardBots"
"ashby","StandInsurance","StandInsurance","auto","2026-04-10T15:02:19.007Z","2026-04-10T15:02:19.007Z","10","1","0","1","7","0","2","false","0.100","0","0","medium","1","productive","","ashby","StandInsurance"
"ashby","starpath.space","Starpath.Space","auto","2026-04-10T15:02:20.058Z","2026-04-10T15:02:20.058Z","10","0","0","0","4","0","6","false","0.000","0","0","low","2","irrelevant_only","","ashby","Starpath.Space"
"ashby","stealth startup","Stealth Startup","auto","2026-04-10T15:02:20.856Z","2026-04-10T15:02:20.856Z","3","2","0","2","1","0","0","false","0.667","0","0","high","1","productive","","ashby","Stealth Startup"
"ashby","sunday","Sunday","auto","2026-04-10T15:02:22.583Z","2026-04-10T15:02:22.583Z","30","0","0","0","16","0","14","false","0.000","0","0","low","2","irrelevant_only","","ashby","Sunday"
"ashby","sunrise","Sunrise","auto","2026-04-10T15:02:22.775Z","2026-04-10T15:02:22.775Z","12","0","0","0","10","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Sunrise"
